name,time,BatV,Door_status,EXTI_Trigger,Hum_SHT31,TempC_SHT31,alt1,alt2,bw,chan1,f_cnt,freq1,gw1,gw2,lat1,lat2,lon1,lon2,rssi1,rssi2,rx_time1,sf,snr1,snr2
s31lb,1746188029006669310,3.612,OPEN,FALSE,55.6,16.1,0,0,125000,5,1859,0,eui-7076ff0056070bb4,eui-00007076ff031372,0,0,0,0,-120,-101,2025-05-02T12:13:48.702Z,7,-2.2,10.2
s31lb,1746189228794783146,3.612,OPEN,FALSE,50.1,16.1,0,0,125000,1,1860,0,eui-00007076ff031372,eui-00007076ff031358,0,0,0,0,-96,-120,2025-05-02T12:33:48.492Z,7,9.2,-6.2
s31lb,1746190428582465768,3.606,OPEN,FALSE,55,15.7,0,0,125000,2,1861,0,eui-00007076ff031372,unknown,0,0,0,0,-99,0,2025-05-02T12:53:48.282Z,7,7.2,0
s31lb,1746191628363071585,3.606,OPEN,FALSE,56.1,15.2,0,0,125000,7,1862,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-98,-120,2025-05-02T13:13:48.073Z,7,7.5,-5.8
s31lb,1746192828161360419,3.606,OPEN,FALSE,55.4,14.9,0,0,125000,1,1863,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-100,-119,2025-05-02T13:33:47.864Z,7,8.8,-7.2
s31lb,1746194027938436820,3.606,OPEN,FALSE,52.3,15.8,0,0,125000,5,1864,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-100,-120,2025-05-02T13:53:47.654Z,7,9.8,-3
s31lb,1746195227741074060,3.606,OPEN,FALSE,58.1,14.9,0,0,125000,7,1865,0,eui-7076ff0056070bb4,eui-00007076ff031372,0,0,0,0,-118,-97,2025-05-02T14:13:47.444Z,7,-5.2,7.5
s31lb,1746196427542787709,3.606,OPEN,FALSE,57.9,15.1,0,0,125000,4,1866,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-97,-120,2025-05-02T14:33:47.235Z,7,9.2,-8.5
s31lb,1746197627326644315,3.606,OPEN,FALSE,55.7,15.3,0,0,125000,5,1867,0,eui-00007076ff031372,unknown,0,0,0,0,-101,0,2025-05-02T14:53:47.025Z,7,10.8,0
s31lb,1746198827132950854,3.606,OPEN,FALSE,58.8,14.8,0,0,125000,2,1868,0,eui-00007076ff031372,unknown,0,0,0,0,-98,0,2025-05-02T15:13:46.817Z,7,7.8,0
s31lb,1746200026900305575,3.606,OPEN,FALSE,52.4,14.9,0,0,125000,3,1869,0,eui-7076ff0056070bb4,eui-00007076ff031372,0,0,0,0,-119,-100,2025-05-02T15:33:46.607Z,7,-2.8,9.2
s31lb,1746201226690506874,3.612,OPEN,FALSE,52,14.6,0,0,125000,0,1870,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-100,-122,2025-05-02T15:53:46.397Z,7,10.2,-6
s31lb,1746202426490120483,3.606,OPEN,FALSE,55.2,14.7,0,0,125000,1,1871,0,eui-7076ff0056070bb4,eui-00007076ff031372,0,0,0,0,-119,-99,2025-05-02T16:13:46.187Z,7,-5.5,9.8
s31lb,1746203626284215493,3.606,OPEN,FALSE,56.2,13.2,0,0,125000,5,1872,0,eui-7076ff0056070bb4,eui-00007076ff031372,0,0,0,0,-119,-102,2025-05-02T16:33:45.979Z,7,-5,9.8
s31lb,1746204826067521299,3.606,OPEN,FALSE,64.5,12.6,0,0,125000,6,1873,0,eui-00007076ff031372,unknown,0,0,0,0,-99,0,2025-05-02T16:53:45.771Z,7,10,0
s31lb,1746206025874177432,3.606,OPEN,FALSE,68.9,12.3,0,0,125000,3,1874,0,eui-00007076ff031372,unknown,0,0,0,0,-100,0,2025-05-02T17:13:45.563Z,7,8.8,0
s31lb,1746207225647209589,3.606,OPEN,FALSE,70.2,12,0,0,125000,4,1875,0,eui-00007076ff031372,unknown,0,0,0,0,-102,0,2025-05-02T17:33:45.356Z,7,10.2,0
s31lb,1746208425437229483,3.6,OPEN,FALSE,71.3,11.4,0,0,125000,1,1876,0,eui-00007076ff031358,eui-7076ff0056070bb4,0,0,0,0,-119,-120,2025-05-02T17:53:45.150Z,7,-4.5,-6
s31lb,1746209625241641116,3.6,OPEN,FALSE,71.8,11,0,0,125000,3,1877,0,eui-7076ff0056070bb4,eui-00007076ff031372,0,0,0,0,-118,-104,2025-05-02T18:13:44.944Z,7,-6.8,9.8
s31lb,1746210825038726591,3.606,OPEN,FALSE,74.3,10.3,0,0,125000,7,1878,0,eui-7076ff0056070bb4,eui-00007076ff031372,0,0,0,0,-118,-101,2025-05-02T18:33:44.738Z,7,-5.8,7.8
s31lb,1746212024840002885,3.606,OPEN,FALSE,75.8,9.8,0,0,125000,0,1879,0,eui-00007076ff031358,eui-7076ff0056070bb4,0,0,0,0,-119,-119,2025-05-02T18:53:44.532Z,7,-4.5,-3.8
s31lb,1746213224619490373,3.606,OPEN,FALSE,78.2,9.3,0,0,125000,5,1880,0,eui-00007076ff031372,unknown,0,0,0,0,-100,0,2025-05-02T19:13:44.327Z,7,9,0
s31lb,1746214424418563399,3.6,OPEN,FALSE,78.7,9.1,0,0,125000,7,1881,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-99,-120,2025-05-02T19:33:44.122Z,7,7.2,-6.8
s31lb,1746215624209406658,3.6,OPEN,FALSE,79.2,8.7,0,0,125000,4,1882,0,eui-00007076ff031372,unknown,0,0,0,0,-101,0,2025-05-02T19:53:43.919Z,7,8.5,0
s31lb,1746216823998211065,3.6,OPEN,FALSE,81.3,8.2,0,0,125000,5,1883,0,eui-00007076ff032b3f,eui-00007076ff031372,0,0,0,0,-122,-101,2025-05-02T20:13:43.716Z,7,-8.5,9.2
