name,time,ADC1_V,BatV,Digital_IStatus,Door_status,EXTI_Trigger,Hum_SHT,TempC1,TempC_SHT,Work_mode,alt1,alt2,bw,chan1,f_cnt,freq1,gw1,gw2,lat1,lat2,lon1,lon2,rssi1,rx_time1,sf,snr1
sn50v3_kropp,1751515358179024526,0,3.618,L,OPEN,FALSE,98.6,0,13.8,IIC,0,0,125000,6,171,0,eui-00007076ff030d23,unknown,0,0,0,0,-109,2025-07-03T04:02:37.461Z,7,8.2
sn50v3_kropp,1751516557583140113,0,3.618,L,OPEN,FALSE,98.6,0,13.6,IIC,0,0,125000,6,172,0,eui-00007076ff030d23,unknown,0,0,0,0,-109,2025-07-03T04:22:37.240Z,7,7.8
sn50v3_kropp,1751517757327792179,0,3.618,L,OPEN,FALSE,98.6,0,13.3,IIC,0,0,125000,4,173,0,eui-00007076ff030d23,unknown,0,0,0,0,-107,2025-07-03T04:42:37.018Z,7,8.2
sn50v3_kropp,1751518957083716922,0,3.618,L,OPEN,FALSE,98.6,0,13.3,IIC,0,0,125000,4,174,0,eui-00007076ff030d23,unknown,0,0,0,0,-110,2025-07-03T05:02:36.797Z,7,8
sn50v3_kropp,1751520156872314471,0,3.618,L,OPEN,FALSE,98.7,0,13.3,IIC,0,0,125000,2,175,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-119,2025-07-03T05:22:36.576Z,7,-3.5
sn50v3_kropp,1751521356643899200,0,3.618,L,OPEN,FALSE,98.6,0,13.6,IIC,0,0,125000,3,176,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-119,2025-07-03T05:42:36.354Z,7,-1.2
sn50v3_kropp,1751523756242146419,0,3.624,L,OPEN,FALSE,97.8,0,14.2,IIC,0,0,125000,0,178,0,eui-00007076ff030d23,unknown,0,0,0,0,-112,2025-07-03T06:22:35.910Z,7,7.8
sn50v3_kropp,1751524955983320950,0,3.624,L,OPEN,FALSE,97.7,0,14.4,IIC,0,0,125000,5,179,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-120,2025-07-03T06:42:35.687Z,7,-1.2
sn50v3_kropp,1751526155752820536,0,3.618,L,OPEN,FALSE,97,0,14.3,IIC,0,0,125000,6,180,0,eui-00007076ff030d23,eui-00007076ff032add,0,0,0,0,-112,2025-07-03T07:02:35.465Z,7,5.5
sn50v3_kropp,1751527355555132290,0,3.624,L,OPEN,FALSE,97.3,0,14.6,IIC,0,0,125000,4,181,0,eui-00007076ff030d23,unknown,0,0,0,0,-113,2025-07-03T07:22:35.242Z,7,4.5
