name,time,gw1
s31lb,1746298410110126716,eui-00007076ff031358
s31lb,1746299609906400729,eui-7076ff0056070bb4
s31lb,1746300809716540292,eui-7076ff0056070bb4
s31lb,1746302009497457854,eui-7076ff0056070bb4
s31lb,1746303209309518544,eui-00007076ff031372
s31lb,1746304409089699037,eui-00007076ff031372
s31lb,1746305608903038730,eui-7076ff0056070bb4
s31lb,1746306808708867025,eui-00007076ff031372
s31lb,1746308008489437543,eui-00007076ff031372
s31lb,1746309208284517794,eui-00007076ff031372
s31lb,1746310408083822686,eui-00007076ff031372
s31lb,1746311607881607923,eui-00007076ff031372
s31lb,1746312807675461163,eui-7076ff0056070bb4
s31lb,1746314007486826707,eui-7076ff0056070bb4
s31lb,1746315207288689649,eui-7076ff0056070bb4
s31lb,1746316407093326281,eui-00007076ff031372
s31lb,1746317606886267301,eui-7076ff0056070bb4
s31lb,1746318806688916009,eui-00007076ff031372
s31lb,1746320006510983935,eui-00007076ff031372
s31lb,1746321206278925461,eui-00007076ff031372
s31lb,1746322406077281589,eui-7076ff0056070bb4
s31lb,1746323605881377413,eui-7076ff0056070bb4
s31lb,1746324805680615528,eui-00007076ff031372
s31lb,1746326005478843383,eui-00007076ff031358
s31lb,1746327205276650795,eui-7076ff0056070bb4
s31lb,1746328405076323559,eui-7076ff0056070bb4
s31lb,1746329604872926682,eui-7076ff0056070bb4
s31lb,1746330804690416766,eui-00007076ff031372
s31lb,1746332004466960225,eui-7076ff0056070bb4
s31lb,1746334404070041638,eui-00007076ff031358
s31lb,1746335604012904375,eui-00007076ff031372
s31lb,1746336803660836020,eui-00007076ff031372
s31lb,1746339203267917268,eui-00007076ff031372
s31lb,1746340403072056753,eui-00007076ff031372
s31lb,1746341602857850968,eui-7076ff0056070bb4
s31lb,1746342802666384609,eui-00007076ff031372
s31lb,1746344002449612465,eui-00007076ff031358
s31lb,1746345202259426242,eui-00007076ff031372
s31lb,1746346402033858453,eui-00007076ff031358
s31lb,1746347601840277397,eui-7076ff0056070bb4
s31lb,1746348801637323640,eui-00007076ff031358
s31lb,1746350001419285874,eui-00007076ff031372
s31lb,1746351201222072792,eui-00007076ff031372
s31lb,1746352401008060881,eui-00007076ff031358
s31lb,1746353600802016330,eui-00007076ff031372
s31lb,1746354800597922601,eui-00007076ff031358
s31lb,1746356000384326685,eui-00007076ff031358
s31lb,1746357200189517645,eui-00007076ff031372
s31lb,1746358399986487002,eui-7076ff0056070bb4
s31lb,1746359599788752737,eui-00007076ff031372
s31lb,1746360799582306761,eui-7076ff0056070bb4
s31lb,1746361999356380620,eui-00007076ff031372
s31lb,1746363199158411509,eui-7076ff0056070bb4
s31lb,1746364398945600453,eui-7076ff0056070bb4
s31lb,1746365598757363955,eui-7076ff0056070bb4
s31lb,1746366798539343662,eui-00007076ff031372
s31lb,1746367998349220602,eui-00007076ff031372
s31lb,1746369198135963170,eui-7076ff0056070bb4
s31lb,1746370397938356675,eui-7076ff0056070bb4
s31lb,1746371597717364659,eui-00007076ff031372
s31lb,1746372797540012287,eui-00007076ff031372
s31lb,1746373997327510952,eui-00007076ff031372
s31lb,1746375197127499134,eui-7076ff0056070bb4
s31lb,1746376396928989317,eui-7076ff0056070bb4
s31lb,1746377596718212028,eui-7076ff0056070bb4
s31lb,1746378796515360857,eui-7076ff0056070bb4
s31lb,1746379996316927834,eui-7076ff0056070bb4
s31lb,1746381196100116633,eui-00007076ff031372
s31lb,1746382395906800675,eui-7076ff0056070bb4
s31lb,1746383595723534303,eui-7076ff0056070bb4
s31lb,1746384795509188603,eui-00007076ff031372
s31lb,1746385995309672852,eui-00007076ff031372
s31lb,1746387195116700692,eui-00007076ff031358
s31lb,1746388394900984963,eui-7076ff0056070bb4
s31lb,1746389594709224035,eui-7076ff0056070bb4
s31lb,1746390794496523204,eui-7076ff0056070bb4
s31lb,1746391994284597261,eui-00007076ff031372
s31lb,1746393194106225584,eui-00007076ff031372
s31lb,1746394393890596478,eui-00007076ff031358
s31lb,1746395593704274074,eui-00007076ff031372
s31lb,1746396793487780115,eui-00007076ff032b3f
s31lb,1746397993296813426,eui-7076ff0056070bb4
s31lb,1746399193103170231,eui-7076ff0056070bb4
s31lb,1746400392908286308,eui-7076ff0056070bb4
s31lb,1746401592697985855,eui-7076ff0056070bb4
s31lb,1746402792506873281,eui-00007076ff031372
s31lb,1746403992315087664,eui-00007076ff031358
s31lb,1746405192100380596,eui-00007076ff032b3f
s31lb,1746406391918722107,eui-7076ff0056070bb4
s31lb,1746407591729059584,eui-7076ff0056070bb4
s31lb,1746408791520127412,eui-7076ff0056070bb4
s31lb,1746409991338549523,eui-00007076ff031372
s31lb,1746411191138145324,eui-7076ff0056070bb4
s31lb,1746412390954674225,eui-00007076ff031358
s31lb,1746413590763617525,eui-7076ff0056070bb4
s31lb,1746414790557118070,eui-7076ff0056070bb4
s31lb,1746415990376235795,eui-7076ff0056070bb4
s31lb,1746417190178720916,eui-7076ff0056070bb4
s31lb,1746418389986400346,eui-00007076ff031372
s31lb,1746419589784584044,eui-00007076ff031372
s31lb,1746420789609327521,eui-00007076ff031372
s31lb,1746421989414691262,eui-7076ff0056070bb4
s31lb,1746423189207785286,eui-00007076ff031372
s31lb,1746424389025244781,eui-00007076ff031372
s31lb,1746425588799429652,eui-00007076ff031372
s31lb,1746426788617041304,eui-7076ff0056070bb4
s31lb,1746429188206104069,eui-00007076ff031358
s31lb,1746430388020293900,eui-00007076ff031372
s31lb,1746431587793520086,eui-7076ff0056070bb4
s31lb,1746432787606347811,eui-00007076ff031372
s31lb,1746433987401433617,eui-00007076ff031372
s31lb,1746435187209056628,eui-7076ff0056070bb4
s31lb,1746436386986562797,eui-00007076ff031372
s31lb,1746438786578437831,eui-00007076ff031372
s31lb,1746439986390664790,eui-7076ff0056070bb4
s31lb,1746441186159543065,eui-00007076ff031372
s31lb,1746442385965948471,eui-00007076ff031372
s31lb,1746443585764309970,eui-00007076ff031372
s31lb,1746444785555443479,eui-7076ff0056070bb4
s31lb,1746445985345081650,eui-00007076ff031372
s31lb,1746447185138820313,eui-7076ff0056070bb4
s31lb,1746448384927999717,eui-7076ff0056070bb4
s31lb,1746449584754912336,eui-00007076ff031372
s31lb,1746450784508194315,eui-00007076ff031372
s31lb,1746451984308670343,eui-00007076ff031372
s31lb,1746453184078980122,eui-00007076ff031372
s31lb,1746454383878611694,eui-00007076ff031372
s31lb,1746455583679115656,eui-00007076ff031372
s31lb,1746456783475488942,eui-7076ff0056070bb4
s31lb,1746457983270435915,eui-00007076ff031372
s31lb,1746459183067717921,eui-7076ff0056070bb4
s31lb,1746460382870513385,eui-00007076ff031372
s31lb,1746461582643544929,eui-00007076ff031372
s31lb,1746462782443565691,eui-00007076ff031372
s31lb,1746463982223251733,eui-00007076ff031372
s31lb,1746465182027766741,eui-00007076ff031372
s31lb,1746466381827239328,eui-00007076ff031372
s31lb,1746467581629951805,eui-00007076ff031358
s31lb,1746468781397701175,eui-00007076ff031372
s31lb,1746469981208281348,eui-00007076ff031372
s31lb,1746471181018345936,eui-00007076ff031372
s31lb,1746472380962344688,eui-00007076ff031372
s31lb,1746473580618278427,eui-00007076ff031372
s31lb,1746474780398223998,eui-00007076ff031372
s31lb,1746475980181487432,eui-00007076ff032b3f
s31lb,1746477179986505255,eui-00007076ff031358
s31lb,1746478379781999815,eui-00007076ff031372
s31lb,1746479579586944821,eui-00007076ff031358
s31lb,1746480779395934675,eui-00007076ff031358
s31lb,1746481979214279041,eui-00007076ff031372
s31lb,1746483178998046887,eui-00007076ff031372
s31lb,1746484378781395295,eui-7076ff0056070bb4
s31lb,1746485578647326196,eui-7076ff0056070bb4
s31lb,1746486778434502715,eui-7076ff0056070bb4
s31lb,1746487978215517300,eui-00007076ff031372
s31lb,1746489178016611449,eui-00007076ff031372
s31lb,1746490377822262968,eui-00007076ff031358
s31lb,1746491577606166175,eui-00007076ff031372
s31lb,1746492777418636819,eui-00007076ff031372
s31lb,1746493977175686835,eui-00007076ff031372
s31lb,1746495176953541298,eui-00007076ff031372
s31lb,1746496376738764860,eui-00007076ff031372
s31lb,1746497576550012454,eui-7076ff0056070bb4
s31lb,1746498776404384576,eui-7076ff0056070bb4
s31lb,1746499976206670457,eui-00007076ff031358
s31lb,1746501176005961251,eui-00007076ff031372
s31lb,1746502375747542856,eui-00007076ff031372
s31lb,1746503575544298187,eui-00007076ff031372
s31lb,1746504775393974482,eui-00007076ff031372
s31lb,1746505975189924970,eui-00007076ff031372
s31lb,1746507174958697766,eui-00007076ff031372
s31lb,1746508374763671082,eui-00007076ff031372
s31lb,1746509574554534404,eui-00007076ff031358
s31lb,1746510774336970332,eui-7076ff0056070bb4
s31lb,1746511974140091353,eui-7076ff0056070bb4
s31lb,1746513173984244497,eui-00007076ff031372
s31lb,1746514373780765003,eui-00007076ff031372
s31lb,1746515573592694504,eui-00007076ff031372
s31lb,1746516773369489268,eui-7076ff0056070bb4
s31lb,1746517973146406037,eui-00007076ff031372
